"Category Id";"Category Name"
"1002334";"Electronics / Wearable Technology / Glasses"
"1002335";"Electronics / Wearable Technology / Headphones"
"1002336";"Electronics / Wearable Technology / Pendants"
"1002337";"Electronics / Wearable Technology / Rings"
"1002338";"Electronics / Wearable Technology / Smart Watches"
"1002340";"Electronics / Wearable Technology / Virtual Reality"
"1011236";"Fashion / Fabrics / Men's Fabric"
"1011237";"Fashion / Fabrics / Unisex Fabrics"
"1009915";"Fashion / Luggage & Travel Gear / Backpacks"
"1009919";"Fashion / Luggage & Travel Gear / Briefcases"
"1009935";"Fashion / Luggage & Travel Gear / Messenger Bags"
"1009952";"Fashion / Luggage & Travel Gear / Umbrellas"
"1011351";"Fashion / Men's Fashion / Jerseys"
"1010349";"Fashion / Shoe, Jewelry & Watch Accessories / Watch Accessories"
"1011239";"Fashion / Weddings / Bridal Costumes"
"1011245";"Fashion / Weddings / Bridal Party"
"1011240";"Fashion / Weddings / Decorations"
"1011241";"Fashion / Weddings / Games & Partywares"
"1011273";"Fashion / Weddings / Shirts"
"1011274";"Fashion / Weddings / Wedding Suits"
"1011227";"Fashion / Women's Fashion / Uniforms, Work & Safety"
"1011985";"Gaming / PC Gaming / Accessories"
"1012115";"Gaming / Sony PSP / Accessories"
"1012543";"Gaming / Sony PSP / Consoles"
"1012544";"Gaming / Sony PSP / Games"
"1012248";"Gaming / Xbox / Accessories"
"1006485";"Garden & Outdoors / Farm & Ranch / Pest Control"
"1006500";"Garden & Outdoors / Farm & Ranch / Plants, Seeds & Bulbs"
"1006699";"Garden & Outdoors / Generators & Portable Power / Generators"
"1006700";"Garden & Outdoors / Generators & Portable Power / Power Inverters"
"1006821";"Garden & Outdoors / Outdoor Décor / Chimes"
"1006830";"Garden & Outdoors / Outdoor Décor / Flags"
"1006832";"Garden & Outdoors / Outdoor Décor / Fountains"
"1006885";"Garden & Outdoors / Outdoor Décor / Yard Signs"
"1006904";"Garden & Outdoors / Outdoor Heating & Cooling / Patio Heaters"
"1006913";"Garden & Outdoors / Outdoor Power Tools / Lawn Mowers & Tractors"
"1007106";"Garden & Outdoors / Patio Furniture & Accessories / Picnic Baskets, Tables & Accessories"
"1007113";"Garden & Outdoors / Patio Furniture & Accessories / Tables"
"1007121";"Garden & Outdoors / Patio Furniture & Accessories / Umbrellas & Shade"
"1007129";"Garden & Outdoors / Pools, Hot Tubs & Supplies / Cleaning Tools & Chemicals"
"1007205";"Garden & Outdoors / Pools, Hot Tubs & Supplies / Swimming Pools"
"1020374";"Grocery / Beer, Wine & Spirits / Ciders"
"1020375";"Grocery / Beer, Wine & Spirits / Sake"
"1018819";"Grocery / Bakery / Cakes"
"1018830";"Grocery / Bakery / Desserts"
"1018981";"Grocery / Candy & Chocolate / Candy & Chocolate Gifts"
"1019001";"Grocery / Candy & Chocolate / Mints"
"1019034";"Grocery / Canned, Jarred & Packaged Foods / Fruits"
"1019131";"Grocery / Condiments & Salad Dressings / Ketchup"
"1019132";"Grocery / Condiments & Salad Dressings / Mayonnaise"
"1019133";"Grocery / Condiments & Salad Dressings / Mustard"
"1019185";"Grocery / Condiments & Salad Dressings / Sandwich Spreads"
"1019187";"Grocery / Condiments & Salad Dressings / Tartar Sauce"
"1019201";"Grocery / Cooking & Baking / Breadcrumbs & Seasoned Coatings"
"1019227";"Grocery / Cooking & Baking / Dessert Syrups & Sauces"
"1019249";"Grocery / Cooking & Baking / Extracts & Flavoring"
"1019250";"Grocery / Cooking & Baking / Flours & Meals"
"1019263";"Grocery / Cooking & Baking / Frosting, Icing & Decorations"
"1019825";"Grocery / Dairy, Cheese & Eggs / Yogurt"
"1019849";"Grocery / Deli / Deli Pickles"
"1020679";"Grocery / Dishwashing / Dish Detergent"
"1020680";"Grocery / Dishwashing / Dishwasher Detergent"
"1019965";"Grocery / Dried Beans, Grains & Rice / Beans"
"1020380";"Grocery / Drinks / Alcoholic"
"1020377";"Grocery / Drinks / Bitter and Ale"
"1020379";"Grocery / Drinks / Malt Drinks"
"1020500";"Grocery / Drinks / Non-Alcoholic"
"1020378";"Grocery / Drinks / Non-Alcoholic Beers"
"1020123";"Grocery / Frozen / Meats"
"1020153";"Grocery / Frozen / Seafood"
"1020199";"Grocery / Herbs, Spices & Seasonings / Salt & Salt Substitutes"
"1020502";"Grocery / Household Cleaning / All-Purpose Cleaners"
"1020543";"Grocery / Household Cleaning / Disinfectant Wipes"
"1020545";"Grocery / Household Cleaning / Floor Cleaners"
"1020546";"Grocery / Household Cleaning / Glass Cleaners"
"1020492";"Grocery / Household Supplies / Natural Home Shop"
"1020289";"Grocery / Jams, Jellies & Sweet Spreads / Jams, Jellies & Preserves"
